@relation 'Features file for classes'

@attribute URI1 string
@attribute URI2 string
@attribute SIM1-labels numeric
@attribute SIM2-comments numeric
@attribute SIM3-equiv numeric
@attribute SIM4-sub numeric
@attribute SIM5-super numeric
@attribute SIM6-directSuper numeric
@attribute SIM7-directSub numeric
@attribute SIM8-prop numeric
@attribute SIM9-directProp numeric
@attribute SIM10-related numeric
@attribute reference numeric

@data
http://cmt_en#c-1611583-0668331,http://conference_es#c-4702276-9233250,0.266065,0,0,0,0,0,0,0,0,0,0
http://cmt_en#c-9519178-7885109,http://conference_es#c-4702276-9233250,0.210915,0,0,0,0,0,0,0,0,0.283629,0
http://cmt_en#c-6062733-3218604,http://conference_es#c-4702276-9233250,0,0,0,0,0,0,0,0,0,0.29253,0
http://cmt_en#c-3945313-3684065,http://conference_es#c-4702276-9233250,0,0,0,0,0,0,0,0,0,0.29221,0
http://cmt_en#c-1819859-8467443,http://conference_es#c-4702276-9233250,0.327682,0,0,0,0,0,0,0,0,0.219914,0
http://cmt_en#c-1998894-5296562,http://conference_es#c-4702276-9233250,0,0,0,0,0,0,0,0,0,0.34327,0
http://cmt_en#c-3355504-9442806,http://conference_es#c-4702276-9233250,0.156168,0,0,0,0,0,0,0,0,0.239806,0
http://cmt_en#c-8693270-2767092,http://conference_es#c-4702276-9233250,0.568208,0,0,0,0,0,0,0,0,0,0
http://cmt_en#c-6817901-7377121,http://conference_es#c-4702276-9233250,0.222483,0,0,0,0,0,0,0,0,0.283629,0
http://cmt_en#c-2282104-8815481,http://conference_es#c-4702276-9233250,0.415711,0,0,0,0,0,0,0,0,0.3041,0
http://cmt_en#c-3959626-1362323,http://conference_es#c-4702276-9233250,0.26993,0,0,0,0,0,0,0,0,0,0
http://cmt_en#c-1384588-1366831,http://conference_es#c-4702276-9233250,0.095033,0,0,0,0,0,0,0,0,0,0
http://cmt_en#c-3017177-8896532,http://conference_es#c-4702276-9233250,0.226282,0,0,0,0,0,0,0,0,0.3041,0
